
	S=sigmas ( neutrino crossections) for a given neutrino
	  energy E, taking into account threshold and resolution

	T=average value of the kinetic electron energy for a given
   	  parent neutrino energy E, taking into account threshold 
	  and resolution

 ****   ********   ******* ******* ********   ******* ******** ******* ********

 Enu     lambda     S(NC)   S(CC)    Tave       S(nue)  T(nue)  S(numu) T(numu)

 8B Nu spectrum    SNO cross-sections and T      SKAM cross-sections and T's
  (normalized)     ([S]=1.E-42 cm2)              ([S]=1.E-46 cm2)

 Enu     lambda     S(NC)   S(CC)    Tave      S(nue)   T(nue)  S(numu) T(numu)

 ****   ********   ******* ******* ********   ******* ******** ******* ********

  2.2   0.046996   0.00000 0.00000  0.00000     0.000  5.14311   0.000  5.14312
  2.4   0.053332   0.00004 0.00000  0.00000     0.001  5.16363   0.000  5.16364
  2.6   0.059681   0.00043 0.00000  0.00000     0.004  5.18470   0.001  5.18472
  2.8   0.065989   0.00146 0.00000  0.00000     0.017  5.21432   0.003  5.21433
  3.0   0.072206   0.00337 0.00000  0.00000     0.058  5.23877   0.010  5.23878
  3.2   0.078282   0.00631 0.00000  5.02424     0.169  5.26597   0.028  5.26596
  3.4   0.084173   0.01041 0.00000  5.06531     0.420  5.29666   0.070  5.29663
  3.6   0.089841   0.01579 0.00000  5.08004     0.904  5.33068   0.149  5.33061
  3.8   0.095251   0.02252 0.00000  5.08931     1.793  5.36187   0.293  5.36174
  4.0   0.100374   0.03068 0.00000  5.10336     3.251  5.39827   0.529  5.39809
  4.2   0.105180   0.04034 0.00000  5.11875     5.403  5.43962   0.874  5.43935
  4.4   0.109645   0.05154 0.00000  5.13690     8.474  5.47853   1.364  5.47814
  4.6   0.113747   0.06434 0.00002  5.15301    12.635  5.52463   2.025  5.52406
  4.8   0.117469   0.07877 0.00009  5.17425    18.032  5.56890   2.879  5.56813
  5.0   0.120793   0.09487 0.00038  5.19556    24.442  5.61912   3.889  5.61809
  5.2   0.123707   0.11270 0.00130  5.21786    32.498  5.67021   5.155  5.66885
  5.4   0.126201   0.13220 0.00362  5.24868    41.477  5.72772   6.561  5.72597
  5.6   0.128265   0.15340 0.00896  5.27596    51.823  5.78485   8.178  5.78260
  5.8   0.129893   0.17650 0.01913  5.31381    62.945  5.84955   9.911  5.84673
  6.0   0.131085   0.20130 0.03718  5.34995    75.254  5.91408  11.828  5.91060
  6.2   0.131839   0.22790 0.06617  5.39195    88.700  5.97855  13.919  5.97425
  6.4   0.132158   0.25630 0.10861  5.44073   102.891  6.04139  16.126  6.03613
  6.6   0.132045   0.28660 0.16594  5.49710   117.556  6.11351  18.403  6.10719
  6.8   0.131508   0.31980 0.24135  5.55543   133.428  6.18748  20.868  6.17995
  7.0   0.130555   0.35410 0.33225  5.62293   148.784  6.26750  23.250  6.25865
  7.2   0.129196   0.39020 0.43674  5.70008   165.704  6.33969  25.881  6.32926
  7.4   0.127443   0.42830 0.55631  5.78138   182.265  6.41958  28.455  6.40748
  7.6   0.125310   0.46830 0.68457  5.87309   197.833  6.50481  30.873  6.49097
  7.8   0.122813   0.51030 0.82299  5.96992   215.299  6.58419  33.594  6.56828
  8.0   0.119968   0.55420 0.97003  6.07242   233.224  6.66341  36.391  6.64524
  8.2   0.116796   0.60000 1.11840  6.18549   250.999  6.75299  39.162  6.73246
  8.4   0.113317   0.64790 1.27113  6.30421   268.560  6.83957  41.907  6.81651
  8.6   0.109552   0.69770 1.42284  6.43249   286.431  6.92576  44.704  6.89995
  8.8   0.105525   0.74950 1.57607  6.56586   302.777  7.01623  47.264  6.98774
  9.0   0.101261   0.80330 1.72889  6.70736   321.826  7.10473  50.255  7.07304
  9.2   0.096784   0.85910 1.88703  6.85011   339.284  7.19748  52.997  7.16271
  9.4   0.092122   0.91690 2.04328  6.99995   356.291  7.28625  55.678  7.24823
  9.6   0.087303   0.97670 2.20070  7.15342   376.142  7.37332  58.815  7.33146
  9.8   0.082355   1.03900 2.35824  7.31246   392.965  7.47259  61.464  7.42738
 10.0   0.077308   1.10300 2.51943  7.47412   410.571  7.55933  64.258  7.51031
 10.2   0.072194   1.16800 2.68252  7.63822   429.803  7.65296  67.306  7.59979
 10.4   0.067041   1.23600 2.84799  7.80449   447.163  7.75049  70.056  7.69352
 10.6   0.061881   1.30600 3.01650  7.97273   466.071  7.83904  73.071  7.77757
 10.8   0.056747   1.37800 3.18731  8.14419   483.773  7.93535  75.888  7.86970
 11.0   0.051670   1.45300 3.36077  8.31702   500.770  8.02640  78.605  7.95652
 11.2   0.046681   1.52900 3.53736  8.49109   519.657  8.12614  81.613  8.05164
 11.4   0.041814   1.60700 3.71789  8.66628   537.838  8.22057  84.523  8.14140
 11.6   0.037097   1.68800 3.90143  8.84360   556.177  8.31434  87.464  8.23035
 11.8   0.032563   1.77000 4.08961  9.02068   573.776  8.40260  90.303  8.31370
 12.0   0.028240   1.85400 4.28100  9.19956   593.330  8.49985  93.441  8.40570
 12.2   0.024158   1.94064 4.47611  9.37912   609.619  8.59540  96.063  8.49670
 12.4   0.020343   2.02967 4.67541  9.55929   629.546  8.69183  99.272  8.58749
 12.6   0.016821   2.12059 4.87918  9.74003   647.067  8.79150 102.090  8.68225
 12.8   0.013614   2.21325 5.08736  9.92128   665.253  8.87546 105.056  8.76058
 13.0   0.010741   2.30800 5.29900 10.10372   684.091  8.97975 108.084  8.85950
 13.2   0.008223   2.40517 5.51533 10.28587   701.984  9.07770 110.977  8.95212
 13.4   0.006073   2.50452 5.73517 10.46907   719.996  9.17509 113.894  9.04407
 13.6   0.004296   2.60596 5.95943 10.65260   738.125  9.27192 116.834  9.13534
 13.8   0.002892   2.70944 6.18807 10.83643   755.203  9.36179 119.625  9.21971
 14.0   0.001843   2.81500 6.42111 11.02056   774.735  9.46388 122.787  9.31578
 14.2   0.001113   2.92260 6.65860 11.20495   793.217  9.55899 125.800  9.40497
 14.4   0.000640   3.03232 6.90053 11.38960   810.615  9.64694 128.658  9.48709
 14.6   0.000354   3.14431 7.14711 11.57448   830.535  9.74748 131.897  9.58123
 14.8   0.000188   3.25858 7.39862 11.75959   847.560  9.85120 134.656  9.67960
 15.0   0.000096   3.37500 7.65412 11.94535   866.492  9.94410 137.761  9.76610
 15.2   0.000047   3.49339 7.91419 12.13085   885.543 10.03639 140.891  9.85185
 15.4   0.000021   3.61392 8.17824 12.31693   902.841 10.13874 143.706  9.94859
 15.6   0.000009   3.73671 8.44716 12.50316   922.107 10.22994 146.880 10.03306
 15.8   0.000003   3.86178 8.72151 12.68918   939.581 10.33140 149.731 10.12871
 16.0   0.000001   3.98900 8.99940 12.87569   957.132 10.43245 152.597 10.22388

