E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
5.000000000000000000e+00,1.207929999999999976e-01,1.155484301111017587e+01,1.162831038464678812e+01,-6.337996585922467917e-03,6.337996585922467917e-03
5.200000000000000178e+00,1.237069999999999975e-01,1.522733252789845793e+01,1.530764541019814828e+01,-5.260385808203839157e-03,5.260385808203839157e-03
5.400000000000000355e+00,1.262010000000000076e-01,1.927176702305347433e+01,1.936693043567511197e+01,-4.925808522571713602e-03,4.925808522571713602e-03
5.599999999999999645e+00,1.282649999999999901e-01,2.388903040984828507e+01,2.406660927990832732e+01,-7.405963978746521979e-03,7.405963978746521979e-03
5.799999999999999822e+00,1.298930000000000085e-01,2.879963213763392815e+01,2.907021976052125467e+01,-9.351592029768181560e-03,9.351592029768181560e-03
6.000000000000000000e+00,1.310850000000000071e-01,3.419123337754927405e+01,3.445584732567316166e+01,-7.709401344184651540e-03,7.709401344184651540e-03
6.200000000000000178e+00,1.318390000000000117e-01,4.003556029958470219e+01,4.026925412720930808e+01,-5.820169794119667631e-03,5.820169794119667631e-03
6.400000000000000355e+00,1.321579999999999977e-01,4.615586325118016475e+01,4.656286199849306939e+01,-8.779213610129718570e-03,8.779213610129718570e-03
6.599999999999999645e+00,1.320449999999999957e-01,5.242933918951590755e+01,5.293948422395951070e+01,-9.683035606115759572e-03,9.683035606115759572e-03
6.799999999999999822e+00,1.315080000000000138e-01,5.918576414703808553e+01,5.985378784563668830e+01,-1.122355868139877227e-02,1.122355868139877227e-02
7.000000000000000000e+00,1.305550000000000044e-01,6.566112646376396356e+01,6.631229867534958089e+01,-9.868232349038679255e-03,9.868232349038679255e-03
7.200000000000000178e+00,1.291960000000000053e-01,7.278227844220742782e+01,7.365938078835330316e+01,-1.197886381176475890e-02,1.197886381176475890e-02
7.400000000000000355e+00,1.274430000000000007e-01,7.970021342231899553e+01,8.065234335995897652e+01,-1.187545689006699358e-02,1.187545689006699358e-02
7.599999999999999645e+00,1.253100000000000047e-01,8.614547842874847561e+01,8.724127211071603938e+01,-1.263987794405490618e-02,1.263987794405490618e-02
7.799999999999999822e+00,1.228130000000000055e-01,9.338649009982378857e+01,9.470730353640286125e+01,-1.404420008810631539e-02,1.404420008810631539e-02
8.000000000000000000e+00,1.199680000000000052e-01,1.007941630128745771e+02,1.021873685326114014e+02,-1.372741164310923440e-02,1.372741164310923440e-02
8.199999999999999289e+00,1.167959999999999970e-01,1.081030789009600994e+02,1.099239564737892323e+02,-1.670322737452601888e-02,1.670322737452601888e-02
8.400000000000000355e+00,1.133170000000000011e-01,1.152964729834223192e+02,1.169330126529686567e+02,-1.409415918966224097e-02,1.409415918966224097e-02
8.599999999999999645e+00,1.095519999999999966e-01,1.225999036522752590e+02,1.242833547232436473e+02,-1.363762842442556127e-02,1.363762842442556127e-02
8.800000000000000711e+00,1.055249999999999938e-01,1.292299043064208774e+02,1.307754539583647215e+02,-1.188859846780449155e-02,1.188859846780449155e-02
9.000000000000000000e+00,1.012610000000000038e-01,1.369992992821866551e+02,1.396332336782837160e+02,-1.904283901758900555e-02,1.904283901758900555e-02
9.199999999999999289e+00,9.678399999999999503e-02,1.440714144881812615e+02,1.477985473389620665e+02,-2.553968094180350534e-02,2.553968094180350534e-02
9.400000000000000355e+00,9.212199999999999556e-02,1.509430003254659312e+02,1.512945086220877329e+02,-2.326040191674540528e-03,2.326040191674540528e-03
9.599999999999999645e+00,8.730300000000000560e-02,1.590112092364433352e+02,1.628854233440544306e+02,-2.407116891253752167e-02,2.407116891253752167e-02
9.800000000000000711e+00,8.235499999999999765e-02,1.657749912458594395e+02,1.693246463199124037e+02,-2.118566943156573179e-02,2.118566943156573179e-02
1.000000000000000000e+01,7.730800000000000172e-02,1.728735933531429794e+02,1.764101021487286971e+02,-2.025006515408199134e-02,2.025006515408199134e-02
1.019999999999999929e+01,7.219399999999999429e-02,1.806447339479898631e+02,1.846418719954178300e+02,-2.188494175473396086e-02,2.188494175473396086e-02
