# E_MeV,P1,P2,P3,Pee_day
5.000000000000000000e+00,2.159800952562411780e-01,7.603646155817896934e-01,2.365528916196890999e-02,3.729792736393799379e-01
5.200000000000000178e+00,2.040563036358775673e-01,7.722295176831965868e-01,2.371417868092538100e-02,3.683696934461638817e-01
5.400000000000000355e+00,1.928552165808798680e-01,7.833715004070072041e-01,2.377328301211288630e-02,3.640384644018064830e-01
5.599999999999999645e+00,1.823446872739149516e-01,7.938227095513736842e-01,2.383260317471138506e-02,3.599732021960885264e-01
5.799999999999999822e+00,1.724907066039412518e-01,8.036171532022741149e-01,2.389214019378399848e-02,3.561608050992556840e-01
6.000000000000000000e+00,1.632582840172162875e-01,8.127898208824669846e-01,2.395189510031686675e-02,3.525877932953248584e-01
6.200000000000000178e+00,1.546121681840937345e-01,8.213759628846475369e-01,2.401186893125875979e-02,3.492405865070633553e-01
6.400000000000000355e+00,1.465174213323841013e-01,8.294105159380545933e-01,2.407206272956126034e-02,3.461057252484315283e-01
6.599999999999999645e+00,1.389398639844247052e-01,8.369276584713565281e-01,2.413247754421935301e-02,3.431700421521881039e-01
6.799999999999999822e+00,1.318464078694821795e-01,8.439604777002057689e-01,2.419311443031197870e-02,3.404207902188884916e-01
7.000000000000000000e+00,1.252052945179135124e-01,8.505407310330431736e-01,2.425397444904314401e-02,3.378457347313394976e-01
7.200000000000000178e+00,1.189862559363956407e-01,8.566986853958209469e-01,2.431505866778325281e-02,3.354332151520666994e-01
7.400000000000000355e+00,1.131606121713651519e-01,8.624630196685241224e-01,2.437636816011103796e-02,3.331721827080098564e-01
7.599999999999999645e+00,1.077013187532972482e-01,8.678607772408473142e-01,2.443790400585509059e-02,3.310522186676357892e-01
7.799999999999999822e+00,1.025829751597780032e-01,8.729173575490852821e-01,2.449966729113663144e-02,3.290635376011876168e-01
8.000000000000000000e+00,9.778180365902840177e-02,8.776565372325597636e-01,2.456165910841187974e-02,3.271969792304877389e-01
8.199999999999999289e+00,9.327560626689260226e-02,8.821005131765922158e-01,2.462388055651515417e-02,3.254439918473170934e-01
8.400000000000000355e+00,8.904370610460099478e-02,8.862699611546974721e-01,2.468633274070197378e-02,3.237966097224493911e-01
8.599999999999999645e+00,8.506687819238477333e-02,8.901841050349219575e-01,2.474901677269298467e-02,3.222474264450196357e-01
8.800000000000000711e+00,8.132727365092638772e-02,8.938607925783559338e-01,2.481193377071752582e-02,3.207895657223737707e-01
9.000000000000000000e+00,7.780834039515484302e-02,8.973165747452863661e-01,2.487508485955827395e-02,3.194166508286475636e-01
9.199999999999999289e+00,7.449474267441925923e-02,9.005667861549846442e-01,2.493847117059586754e-02,3.181227736089353164e-01
9.400000000000000355e+00,7.137228121983021922e-02,9.036256249383162187e-01,2.500209384185337128e-02,3.169024637173573078e-01
9.599999999999999645e+00,6.842781528328437113e-02,9.065062306986736429e-01,2.506595401804216292e-02,3.157506585838688595e-01
9.800000000000000711e+00,6.564918747482303973e-02,9.092207596745700560e-01,2.513005285060748370e-02,3.146626744590798608e-01
