E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
5.000000000000000000e+00,1.207929999999999976e-01,1.064999948688515197e+01,1.071726478086631751e+01,-6.296107273094913442e-03,6.296107273094913442e-03
5.200000000000000178e+00,1.237069999999999975e-01,1.407152318399445434e+01,1.415928785258356193e+01,-6.217651237535677146e-03,6.217651237535677146e-03
5.400000000000000355e+00,1.262010000000000076e-01,1.785662779106850095e+01,1.802564881404986608e+01,-9.420863945809694259e-03,9.420863945809694259e-03
5.599999999999999645e+00,1.282649999999999901e-01,2.219481178277603917e+01,2.239067909918868082e+01,-8.786146010197769599e-03,8.786146010197769599e-03
5.799999999999999822e+00,1.298930000000000085e-01,2.682952400226771772e+01,2.700349014237959011e+01,-6.463176653806967931e-03,6.463176653806967931e-03
6.000000000000000000e+00,1.310850000000000071e-01,3.193780732321101823e+01,3.232359123994910277e+01,-1.200670777057277760e-02,1.200670777057277760e-02
6.200000000000000178e+00,1.318390000000000117e-01,3.749556728255603844e+01,3.808074827337804180e+01,-1.548583009154264750e-02,1.548583009154264750e-02
6.400000000000000355e+00,1.321579999999999977e-01,4.333910602001419932e+01,4.381641265848210764e+01,-1.095298715916363796e-02,1.095298715916363796e-02
6.599999999999999645e+00,1.320449999999999957e-01,4.935299073225531430e+01,5.022294547879445759e+01,-1.747319241257820968e-02,1.747319241257820968e-02
6.799999999999999822e+00,1.315080000000000138e-01,5.584801576800683875e+01,5.647544408011565054e+01,-1.117181242381930228e-02,1.117181242381930228e-02
7.000000000000000000e+00,1.305550000000000044e-01,6.210291612417258023e+01,6.306022011700522967e+01,-1.529690005510908613e-02,1.529690005510908613e-02
7.200000000000000178e+00,1.291960000000000053e-01,6.899306110724188557e+01,7.003456354724403354e+01,-1.498266898525396629e-02,1.498266898525396629e-02
7.400000000000000355e+00,1.274430000000000007e-01,7.571373803104698652e+01,7.710401148934305127e+01,-1.819518298966396608e-02,1.819518298966396608e-02
7.599999999999999645e+00,1.253100000000000047e-01,8.200537263046012981e+01,8.343761262918340549e+01,-1.731400091065259106e-02,1.731400091065259106e-02
7.799999999999999822e+00,1.228130000000000055e-01,8.907383533849544222e+01,9.059984506777495028e+01,-1.698645818162081850e-02,1.698645818162081850e-02
8.000000000000000000e+00,1.199680000000000052e-01,9.632054943616147114e+01,9.811844016640267796e+01,-1.849310916412514813e-02,1.849310916412514813e-02
8.199999999999999289e+00,1.167959999999999970e-01,1.034902714070971115e+02,1.048401055398167614e+02,-1.295859156500840659e-02,1.295859156500840659e-02
8.400000000000000355e+00,1.133170000000000011e-01,1.105653788690113117e+02,1.124856206648963592e+02,-1.721796181050636379e-02,1.721796181050636379e-02
8.599999999999999645e+00,1.095519999999999966e-01,1.177603367877558611e+02,1.209989747760314174e+02,-2.712889367173700744e-02,2.712889367173700744e-02
8.800000000000000711e+00,1.055249999999999938e-01,1.243204975105415429e+02,1.271795389217652001e+02,-2.273591250149334733e-02,2.273591250149334733e-02
9.000000000000000000e+00,1.012610000000000038e-01,1.319886430732052531e+02,1.339947540280326734e+02,-1.508448254056894700e-02,1.508448254056894700e-02
9.199999999999999289e+00,9.678399999999999503e-02,1.389959705548977524e+02,1.407707126817552421e+02,-1.268730147796938261e-02,1.268730147796938261e-02
9.400000000000000355e+00,9.212199999999999556e-02,1.458189721352571553e+02,1.493380628324573252e+02,-2.384554850664564324e-02,2.384554850664564324e-02
9.599999999999999645e+00,8.730300000000000560e-02,1.538074727167016817e+02,1.574403746968033886e+02,-2.334410991299324875e-02,2.334410991299324875e-02
9.800000000000000711e+00,8.235499999999999765e-02,1.605417245792446010e+02,1.636171970249930609e+02,-1.897509055452296228e-02,1.897509055452296228e-02
1.000000000000000000e+01,7.730800000000000172e-02,1.676072032151704434e+02,1.715276457907424117e+02,-2.312025783881393320e-02,2.312025783881393320e-02
1.019999999999999929e+01,7.219399999999999429e-02,1.753312195401094868e+02,1.784014723609749069e+02,-1.735916917582481372e-02,1.735916917582481372e-02
1.040000000000000036e+01,6.704100000000000337e-02,1.822837728383481704e+02,1.880219725898464276e+02,-3.099168631511790839e-02,3.099168631511790839e-02
1.059999999999999964e+01,6.188099999999999851e-02,1.898792481206133402e+02,1.939289521022286351e+02,-2.110274860862277474e-02,2.110274860862277474e-02
1.080000000000000071e+01,5.674699999999999883e-02,1.969734350612625917e+02,2.032908125195967273e+02,-3.156603417125299071e-02,3.156603417125299071e-02
1.100000000000000000e+01,5.167000000000000065e-02,2.037851886863520008e+02,2.095204417025653072e+02,-2.775308437398483694e-02,2.775308437398483694e-02
1.119999999999999929e+01,4.668100000000000027e-02,2.113591473801228062e+02,2.165783858691225134e+02,-2.439252499948325534e-02,2.439252499948325534e-02
1.140000000000000036e+01,4.181399999999999700e-02,2.186519885208237213e+02,2.245453483456568051e+02,-2.659474385157933191e-02,2.659474385157933191e-02
1.159999999999999964e+01,3.709699999999999803e-02,2.260107372403127499e+02,2.318569585986076618e+02,-2.553672779899123640e-02,2.553672779899123640e-02
1.180000000000000071e+01,3.256300000000000167e-02,2.330765540029441354e+02,2.404005371088140919e+02,-3.093701149794900532e-02,3.093701149794900532e-02
1.200000000000000000e+01,2.824000000000000121e-02,2.409279367803800085e+02,2.504845569119989079e+02,-3.889449395074306981e-02,3.889449395074306981e-02
1.219999999999999929e+01,2.415799999999999892e-02,2.474502145249365412e+02,2.537968748708867395e+02,-2.532348009681263667e-02,2.532348009681263667e-02
1.240000000000000036e+01,2.034299999999999997e-02,2.554568890609906475e+02,2.665281224666253479e+02,-4.241973681671113577e-02,4.241973681671113577e-02
1.259999999999999964e+01,1.682099999999999915e-02,2.624769362994964581e+02,2.702395504578705641e+02,-2.914351010844421289e-02,2.914351010844421289e-02
1.280000000000000071e+01,1.361399999999999937e-02,2.697954591403280347e+02,2.761016865634290411e+02,-2.310408644826737051e-02,2.310408644826737051e-02
1.300000000000000000e+01,1.074100000000000055e-02,2.773476425867311832e+02,2.843055660279889594e+02,-2.477658218465101161e-02,2.477658218465101161e-02
1.319999999999999929e+01,8.222999999999999407e-03,2.845250843277402737e+02,2.931357829128002095e+02,-2.981229670686487421e-02,2.981229670686487421e-02
1.340000000000000036e+01,6.073000000000000273e-03,2.917529219690180184e+02,3.041200867372909897e+02,-4.150939743058050524e-02,4.150939743058050524e-02
1.359999999999999964e+01,4.296000000000000339e-03,2.990298596107300568e+02,3.092191770892564477e+02,-3.350376856758486427e-02,3.350376856758486427e-02
1.380000000000000071e+01,2.892000000000000039e-03,3.058919975375906688e+02,3.170379567671151335e+02,-3.578559403830635505e-02,3.578559403830635505e-02
1.400000000000000000e+01,1.843000000000000020e-03,3.137341341319087178e+02,3.291072382826095577e+02,-4.782860845735337901e-02,4.782860845735337901e-02
