# E_MeV,P1,P2,P3,Pee_day
5.000000000000000000e+00,1.023021341212690533e-01,8.731946854010806947e-01,2.450318047765035964e-02,3.289543855828906960e-01
5.200000000000000178e+00,9.495884730561232612e-02,8.804410030761529171e-01,2.460014961823530494e-02,3.260989351568758243e-01
5.400000000000000355e+00,8.830426654158407551e-02,8.869980525719474151e-01,2.469768088646901588e-02,3.235086433459875566e-01
5.599999999999999645e+00,8.226449490857205837e-02,8.929397265725032007e-01,2.479577851892494217e-02,3.211550414200031733e-01
5.799999999999999822e+00,7.677374396123774758e-02,8.983318092477641237e-01,2.489444679099817384e-02,3.190127842943719094e-01
6.000000000000000000e+00,7.177359412714520714e-02,9.032327158555353286e-01,2.499369001731880854e-02,3.170593656104912506e-01
6.200000000000000178e+00,6.721225544262680873e-02,9.076942320052023838e-01,2.509351255217070337e-02,3.152748329462837229e-01
6.400000000000000355e+00,6.304385850265466218e-02,9.117622227074305696e-01,2.519391878991497982e-02,3.136415146662156483e-01
6.599999999999999645e+00,5.922779276092305506e-02,9.154772940736581877e-01,2.529491316541889953e-02,3.121437650122065310e-01
6.799999999999999822e+00,5.572810066399214862e-02,9.188753991815183930e-01,2.539650015448967693e-02,3.107677307036855185e-01
7.000000000000000000e+00,5.251293041254998656e-02,9.219883853131375373e-01,2.549868427431307288e-02,3.095011401227761305e-01
7.200000000000000178e+00,4.955404654715789975e-02,9.248444833689435374e-01,2.560147008389856635e-02,3.083331147754080348e-01
7.400000000000000355e+00,4.682639540934003392e-02,9.274687424061316410e-01,2.570486218452813776e-02,3.072540018922501059e-01
7.599999999999999645e+00,4.430772136236669351e-02,9.298834134174212007e-01,2.580886522021218557e-02,3.062552265839730281e-01
7.799999999999999822e+00,4.197822913578071885e-02,9.321082869860691789e-01,2.591348387814959575e-02,3.053291617649235290e-01
8.000000000000000000e+00,3.982028754997236214e-02,9.341609895608328218e-01,2.601872288919408749e-02,3.044690140177789273e-01
8.199999999999999289e+00,3.781817002205498102e-02,9.360572429496187841e-01,2.612458702832624186e-02,3.036687236275868451e-01
8.400000000000000355e+00,3.595782754344929028e-02,9.378110913414198224e-01,2.623108111513060281e-02,3.029228771249942165e-01
8.599999999999999645e+00,3.422669018192821960e-02,9.394350998037922507e-01,2.633821001427972402e-02,3.022266308180545646e-01
8.800000000000000711e+00,3.261349355015107088e-02,9.409405278138266437e-01,2.644597863602202517e-02,3.015756439419581270e-01
9.000000000000000000e+00,3.110812707046619122e-02,9.423374809928550810e-01,2.655439193667882489e-02,3.009660202054168510e-01
9.199999999999999289e+00,2.970150123503398354e-02,9.436350438458223078e-01,2.666345491914362542e-02,3.003942566546778936e-01
9.400000000000000355e+00,2.838543140193871758e-02,9.448413959646715377e-01,2.677317263339076478e-02,2.998571989077556954e-01
9.599999999999999645e+00,2.715253597780235145e-02,9.459639138452102802e-01,2.688355017698801017e-02,2.993520019308211211e-01
9.800000000000000711e+00,2.599614711449176399e-02,9.470092601898919549e-01,2.699459269561663155e-02,2.988760956354418741e-01
1.000000000000000000e+01,2.491023229274740014e-02,9.479834623236557123e-01,2.710630538359743227e-02,2.984271546698230027e-01
1.019999999999999929e+01,2.388932538099829833e-02,9.488919811345772892e-01,2.721869348442319120e-02,2.980030718602070805e-01
1.040000000000000036e+01,2.292846594583624470e-02,9.497397717628665026e-01,2.733176229129733251e-02,2.976019348310908197e-01
1.059999999999999964e+01,2.202314575431194715e-02,9.505313370980074117e-01,2.744551714768023870e-02,2.972220053959626629e-01
1.080000000000000071e+01,2.116926155021784522e-02,9.512707750019412378e-01,2.755996344784078511e-02,2.968617013649988978e-01
1.100000000000000000e+01,2.036307330938483262e-02,9.519618200531994034e-01,2.767510663741617333e-02,2.965195804634491172e-01
1.119999999999999929e+01,1.960116728519539428e-02,9.526078805008278971e-01,2.779095221397681267e-02,2.961943260953758261e-01
1.140000000000000036e+01,1.888042324717718184e-02,9.532120710252224294e-01,2.790750572760010428e-02,2.958847347227065994e-01
1.159999999999999964e+01,1.819798539461016731e-02,9.537772418239395256e-01,2.802477278145015446e-02,2.955897046600216571e-01
1.180000000000000071e+01,1.755123649531341312e-02,9.543060044723220559e-01,2.814275903236470450e-02,2.953082261117873641e-01
1.200000000000000000e+01,1.693777485861811677e-02,9.548007549499317737e-01,2.826147019144937753e-02,2.950393723014109182e-01
1.219999999999999929e+01,1.635539380234555043e-02,9.552636941729748532e-01,2.838091202467961718e-02,2.947822915610693872e-01
1.240000000000000036e+01,1.580206331744956824e-02,9.556968463290408389e-01,2.850109035350958595e-02,2.945362002681455871e-01
1.259999999999999964e+01,1.527591367189710253e-02,9.561020752726147043e-01,2.862201105548845340e-02,2.943003765287277029e-01
1.280000000000000071e+01,1.477522072812171433e-02,9.564810992069922024e-01,2.874368006488585425e-02,2.940741545212274266e-01
1.300000000000000000e+01,1.429839277676177127e-02,9.568355038499165577e-01,2.886610337332184625e-02,2.938569194241236193e-01
1.319999999999999929e+01,1.384395871396516993e-02,9.571667542556268060e-01,2.898928703040868152e-02,2.936481028612863975e-01
1.340000000000000036e+01,1.341055741086575291e-02,9.574762054447365500e-01,2.911323714439751492e-02,2.934471788065672326e-01
1.359999999999999964e+01,1.299692814234332076e-02,9.577651119748222808e-01,2.923795988283412958e-02,2.932536598964576302e-01
1.380000000000000071e+01,1.260190195827508471e-02,9.580346365685022958e-01,2.936346147322339492e-02,2.930670941058228784e-01
1.400000000000000000e+01,1.222439389448970633e-02,9.582858579018086465e-01,2.948974820370138528e-02,2.928870617471158178e-01
1.419999999999999929e+01,1.186339593284272027e-02,9.585197776434419836e-01,2.961682642371552335e-02,2.927131727581786524e-01
1.440000000000000036e+01,1.151797063048179415e-02,9.587373268248046143e-01,2.974470254471391420e-02,2.925450642478301111e-01
1.459999999999999964e+01,1.118724534767581019e-02,9.589393716114811284e-01,2.987338304084321758e-02,2.923823982720426540e-01
1.480000000000000071e+01,1.087040701171845467e-02,9.591267185386271876e-01,3.000287444965443057e-02,2.922248598166292122e-01
1.500000000000000000e+01,1.056669736155127666e-02,9.593001192656303022e-01,3.013318337281874551e-02,2.920721549651159599e-01
