E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
5.000000000000000000e+00,1.207929999999999976e-01,1.106168929828871228e+01,1.113203710415466041e+01,-6.339431656524641481e-03,6.339431656524641481e-03
5.200000000000000178e+00,1.237069999999999975e-01,1.459212207283829699e+01,1.469849063056613403e+01,-7.262979358262033891e-03,7.262979358262033891e-03
5.400000000000000355e+00,1.262010000000000076e-01,1.848807522217272847e+01,1.868459842828374207e+01,-1.057353086619317387e-02,1.057353086619317387e-02
5.599999999999999645e+00,1.282649999999999901e-01,2.294422368915948240e+01,2.309965143413444366e+01,-6.751288615858886712e-03,6.751288615858886712e-03
5.799999999999999822e+00,1.298930000000000085e-01,2.769396536736592651e+01,2.794398564430970922e+01,-8.987400592495430746e-03,8.987400592495430746e-03
6.000000000000000000e+00,1.310850000000000071e-01,3.291922045161873456e+01,3.335417201066666593e+01,-1.312597840213029256e-02,1.312597840213029256e-02
6.200000000000000178e+00,1.318390000000000117e-01,3.859421739653622296e+01,3.905127105569676615e+01,-1.177283235050339411e-02,1.177283235050339411e-02
6.400000000000000355e+00,1.321579999999999977e-01,4.454980428386944169e+01,4.515743907455256334e+01,-1.354706193022427695e-02,1.354706193022427695e-02
6.599999999999999645e+00,1.320449999999999957e-01,5.066763687474916367e+01,5.137444706550202511e+01,-1.385330764445619894e-02,1.385330764445619894e-02
6.799999999999999822e+00,1.315080000000000138e-01,5.726683521820301337e+01,5.802663578767987929e+01,-1.318028788357142669e-02,1.318028788357142669e-02
7.000000000000000000e+00,1.305550000000000044e-01,6.360815433452831513e+01,6.442075274625442205e+01,-1.269398341756334050e-02,1.269398341756334050e-02
7.200000000000000178e+00,1.291960000000000053e-01,7.058897764576087752e+01,7.141762865093532753e+01,-1.167059796419807512e-02,1.167059796419807512e-02
7.400000000000000355e+00,1.274430000000000007e-01,7.738602763349338431e+01,7.846916414635941805e+01,-1.389926765347638919e-02,1.389926765347638919e-02
7.599999999999999645e+00,1.253100000000000047e-01,8.373582131519815164e+01,8.533060441574021127e+01,-1.886575757010543891e-02,1.886575757010543891e-02
7.799999999999999822e+00,1.228130000000000055e-01,9.087050892871506846e+01,9.221674679027758259e+01,-1.470597018100218770e-02,1.470597018100218770e-02
8.000000000000000000e+00,1.199680000000000052e-01,9.817879202235181424e+01,1.002352715503708538e+02,-2.072917101730844744e-02,2.072917101730844744e-02
8.199999999999999289e+00,1.167959999999999970e-01,1.054012755270988464e+02,1.078496846783948655e+02,-2.296270224468554763e-02,2.296270224468554763e-02
8.400000000000000355e+00,1.133170000000000011e-01,1.125207738707754004e+02,1.140630776662806625e+02,-1.361353675509421705e-02,1.361353675509421705e-02
8.599999999999999645e+00,1.095519999999999966e-01,1.197563910556671800e+02,1.217806533324027356e+02,-1.676150572980629472e-02,1.676150572980629472e-02
8.800000000000000711e+00,1.055249999999999938e-01,1.263416394510846175e+02,1.288742763946079890e+02,-1.984701412630270057e-02,1.984701412630270057e-02
9.000000000000000000e+00,1.012610000000000038e-01,1.340481660956062058e+02,1.381652973495868082e+02,-3.024928452746818847e-02,3.024928452746818847e-02
9.199999999999999289e+00,9.678399999999999503e-02,1.410792450598902406e+02,1.414222108060565120e+02,-2.428063566008780479e-03,2.428063566008780479e-03
9.400000000000000355e+00,9.212199999999999556e-02,1.479197249365588789e+02,1.510887615849334793e+02,-2.119696792048618786e-02,2.119696792048618786e-02
9.599999999999999645e+00,8.730300000000000560e-02,1.559388245541005062e+02,1.593078733931072861e+02,-2.137404680807138135e-02,2.137404680807138135e-02
9.800000000000000711e+00,8.235499999999999765e-02,1.626834799985189193e+02,1.666467900099070221e+02,-2.406890815889290228e-02,2.406890815889290228e-02
1.000000000000000000e+01,7.730800000000000172e-02,1.697611932138639190e+02,1.729346500509234090e+02,-1.852054467207230048e-02,1.852054467207230048e-02
1.019999999999999929e+01,7.219399999999999429e-02,1.775035142862081443e+02,1.813384257495670795e+02,-2.137381969887136579e-02,2.137381969887136579e-02
1.040000000000000036e+01,6.704100000000000337e-02,1.844628086454560503e+02,1.886351461139633159e+02,-2.236590908785692638e-02,2.236590908785692638e-02
1.059999999999999964e+01,6.188099999999999851e-02,1.920706396046379325e+02,1.966968587112742739e+02,-2.379941289679045335e-02,2.379941289679045335e-02
1.080000000000000071e+01,5.674699999999999883e-02,1.991699345012028175e+02,2.048148688890230176e+02,-2.794627095102645079e-02,2.794627095102645079e-02
1.100000000000000000e+01,5.167000000000000065e-02,2.059824202486123852e+02,2.119566252922236060e+02,-2.858888207432389028e-02,2.858888207432389028e-02
1.119999999999999929e+01,4.668100000000000027e-02,2.135643161312975735e+02,2.189111295040475227e+02,-2.472655234747490882e-02,2.472655234747490882e-02
1.140000000000000036e+01,4.181399999999999700e-02,2.208609128961559804e+02,2.276372688637474084e+02,-3.021798635169961958e-02,3.021798635169961958e-02
1.159999999999999964e+01,3.709699999999999803e-02,2.282231518736542171e+02,2.332384165325904064e+02,-2.173643485093447458e-02,2.173643485093447458e-02
1.180000000000000071e+01,3.256300000000000167e-02,2.352887752577572087e+02,2.418667398553680528e+02,-2.757157525906966944e-02,2.757157525906966944e-02
1.200000000000000000e+01,2.824000000000000121e-02,2.431468522177377736e+02,2.508961761961847685e+02,-3.137104880651975236e-02,3.137104880651975236e-02
1.219999999999999929e+01,2.415799999999999892e-02,2.496631862313731745e+02,2.572854016894200981e+02,-3.007096040767682360e-02,3.007096040767682360e-02
1.240000000000000036e+01,2.034299999999999997e-02,2.576766969492803696e+02,2.675937118170921849e+02,-3.775965560710906055e-02,3.775965560710906055e-02
1.259999999999999964e+01,1.682099999999999915e-02,2.646947368480637124e+02,2.730100950653842347e+02,-3.092908124976273196e-02,3.092908124976273196e-02
1.280000000000000071e+01,1.361399999999999937e-02,2.720132101996296115e+02,2.807189152890120454e+02,-3.150063000838307370e-02,3.150063000838307370e-02
1.300000000000000000e+01,1.074100000000000055e-02,2.795674852273737088e+02,2.871786939405271823e+02,-2.685932077858304082e-02,2.685932077858304082e-02
