E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
5.000000000000000000e+00,1.207929999999999976e-01,1.039937668180629160e+01,1.051690078200003775e+01,-1.123757326293941747e-02,1.123757326293941747e-02
5.200000000000000178e+00,1.237069999999999975e-01,1.375867463078530406e+01,1.387283631359493441e+01,-8.263151663289612300e-03,8.263151663289612300e-03
5.400000000000000355e+00,1.262010000000000076e-01,1.748152719894551055e+01,1.763456210602112151e+01,-8.715942469935939949e-03,8.715942469935939949e-03
5.599999999999999645e+00,1.282649999999999901e-01,2.175419783396056062e+01,2.190229877483497489e+01,-6.784829401293560047e-03,6.784829401293560047e-03
5.799999999999999822e+00,1.298930000000000085e-01,2.632590782462873946e+01,2.654677162018424141e+01,-8.354552781310559118e-03,8.354552781310559118e-03
6.000000000000000000e+00,1.310850000000000071e-01,3.137065772071091629e+01,3.161548967199187032e+01,-7.774152299059930785e-03,7.774152299059930785e-03
6.200000000000000178e+00,1.318390000000000117e-01,3.686518837763446754e+01,3.746819629967595233e+01,-1.622441718910580880e-02,1.622441718910580880e-02
6.400000000000000355e+00,1.321579999999999977e-01,4.264878186626525292e+01,4.323165074077934378e+01,-1.357396223610264629e-02,1.357396223610264629e-02
6.599999999999999645e+00,1.320449999999999957e-01,4.860749278850605037e+01,4.923815956324780529e+01,-1.289105360500875444e-02,1.289105360500875444e-02
6.799999999999999822e+00,1.315080000000000138e-01,5.504725784722066351e+01,5.564091986899634179e+01,-1.072674668649279545e-02,1.072674668649279545e-02
7.000000000000000000e+00,1.305550000000000044e-01,6.125684735084522714e+01,6.216007988557264952e+01,-1.463709322461394756e-02,1.463709322461394756e-02
7.200000000000000178e+00,1.291960000000000053e-01,6.809913160789660935e+01,6.926151997587426479e+01,-1.692461930800845740e-02,1.692461930800845740e-02
7.400000000000000355e+00,1.274430000000000007e-01,7.477974696288426060e+01,7.626351842952783500e+01,-1.964697284302904454e-02,1.964697284302904454e-02
7.599999999999999645e+00,1.253100000000000047e-01,8.104119944620921956e+01,8.242125968037819916e+01,-1.688534776171748616e-02,1.688534776171748616e-02
7.799999999999999822e+00,1.228130000000000055e-01,8.807466137021405927e+01,9.007952224312575140e+01,-2.250703106992961444e-02,2.250703106992961444e-02
8.000000000000000000e+00,1.199680000000000052e-01,9.528862978798635197e+01,9.693730809689139960e+01,-1.715354677985678547e-02,1.715354677985678547e-02
8.199999999999999289e+00,1.167959999999999970e-01,1.024301400589967841e+02,1.043098258413298964e+02,-1.818405816357099303e-02,1.818405816357099303e-02
8.400000000000000355e+00,1.133170000000000011e-01,1.094813053525211330e+02,1.129353799560521736e+02,-3.105949177094313382e-02,3.105949177094313382e-02
8.599999999999999645e+00,1.095519999999999966e-01,1.166540079544685398e+02,1.178687844518996002e+02,-1.035956023691004743e-02,1.035956023691004743e-02
8.800000000000000711e+00,1.055249999999999938e-01,1.232001600693218961e+02,1.264148785331456679e+02,-2.575741014501514020e-02,2.575741014501514020e-02
9.000000000000000000e+00,1.012610000000000038e-01,1.308465450616784267e+02,1.330549593957419745e+02,-1.673665588685469344e-02,1.673665588685469344e-02
9.199999999999999289e+00,9.678399999999999503e-02,1.378398439707990804e+02,1.406806748228927972e+02,-2.039943674094620019e-02,2.039943674094620019e-02
9.400000000000000355e+00,9.212199999999999556e-02,1.446519282105419393e+02,1.472708739836870677e+02,-1.794272837517248489e-02,1.794272837517248489e-02
9.599999999999999645e+00,8.730300000000000560e-02,1.526218503902337602e+02,1.564903558928465372e+02,-2.502978157433264142e-02,2.502978157433264142e-02
9.800000000000000711e+00,8.235499999999999765e-02,1.593483942336853545e+02,1.626013217235843342e+02,-2.020767423401435836e-02,2.020767423401435836e-02
1.000000000000000000e+01,7.730800000000000172e-02,1.664047997117297655e+02,1.694353799198043760e+02,-1.804775242437995503e-02,1.804775242437995503e-02
1.019999999999999929e+01,7.219399999999999429e-02,1.741160043756585765e+02,1.790099020434417696e+02,-2.771757936091479718e-02,2.771757936091479718e-02
1.040000000000000036e+01,6.704100000000000337e-02,1.810618741790707134e+02,1.853635654203663137e+02,-2.347921719626264517e-02,2.347921719626264517e-02
1.059999999999999964e+01,6.188099999999999851e-02,1.886471865501708862e+02,1.940533939909786625e+02,-2.825293566664176595e-02,2.825293566664176595e-02
1.080000000000000071e+01,5.674699999999999883e-02,1.957349596561010685e+02,2.016039675821096466e+02,-2.954157030020881231e-02,2.954157030020881231e-02
1.100000000000000000e+01,5.167000000000000065e-02,2.025424625444000242e+02,2.077342991943405650e+02,-2.530894817409444844e-02,2.530894817409444844e-02
1.119999999999999929e+01,4.668100000000000027e-02,2.101077891231686294e+02,2.153590048759928095e+02,-2.468449160727936853e-02,2.468449160727936853e-02
1.140000000000000036e+01,4.181399999999999700e-02,2.173940615313547369e+02,2.226933502524165363e+02,-2.408289162183764598e-02,2.408289162183764598e-02
1.159999999999999964e+01,3.709699999999999803e-02,2.247460936786081334e+02,2.331345511355236795e+02,-3.664036709968680056e-02,3.664036709968680056e-02
1.180000000000000071e+01,3.256300000000000167e-02,2.318070112375675080e+02,2.379782947554728594e+02,-2.627278222276614034e-02,2.627278222276614034e-02
1.200000000000000000e+01,2.824000000000000121e-02,2.396492482807537385e+02,2.486741754611758211e+02,-3.696290917714240010e-02,3.696290917714240010e-02
1.219999999999999929e+01,2.415799999999999892e-02,2.461693854389145031e+02,2.567105570361738387e+02,-4.192321350252112971e-02,4.192321350252112971e-02
1.240000000000000036e+01,2.034299999999999997e-02,2.541662460013747591e+02,2.603070081738312638e+02,-2.387203658351982200e-02,2.387203658351982200e-02
1.259999999999999964e+01,1.682099999999999915e-02,2.611813364475857497e+02,2.680384230664655547e+02,-2.591394782831325100e-02,2.591394782831325100e-02
1.280000000000000071e+01,1.361399999999999937e-02,2.684934946707982704e+02,2.758716550762675297e+02,-2.710739439840134310e-02,2.710739439840134310e-02
1.300000000000000000e+01,1.074100000000000055e-02,2.760377827102033166e+02,2.848621204323164875e+02,-3.146492867149232320e-02,3.146492867149232320e-02
1.319999999999999929e+01,8.222999999999999407e-03,2.832089630373621958e+02,2.922835506141364021e+02,-3.153677019774234896e-02,3.153677019774234896e-02
1.340000000000000036e+01,6.073000000000000273e-03,2.904300520087904260e+02,3.006538301791681533e+02,-3.459332415742194522e-02,3.459332415742194522e-02
1.359999999999999964e+01,4.296000000000000339e-03,2.976997388613812063e+02,3.110491521608005883e+02,-4.385852194984270203e-02,4.385852194984270203e-02
1.380000000000000071e+01,2.892000000000000039e-03,3.045562008402196170e+02,3.181925171991451293e+02,-4.379396043353570717e-02,4.379396043353570717e-02
1.400000000000000000e+01,1.843000000000000020e-03,3.123879469767989576e+02,3.249421616787514608e+02,-3.939627057141754235e-02,3.939627057141754235e-02
1.419999999999999929e+01,1.113000000000000057e-03,3.198067118810872671e+02,3.306534071507544468e+02,-3.335083874415429445e-02,3.335083874415429445e-02
1.440000000000000036e+01,6.400000000000000524e-04,3.267987498809282556e+02,3.358313726999585924e+02,-2.726294054924353547e-02,2.726294054924353547e-02
1.459999999999999964e+01,3.539999999999999853e-04,3.347920131822560279e+02,3.454835742729861181e+02,-3.143302887209230290e-02,3.143302887209230290e-02
1.480000000000000071e+01,1.879999999999999890e-04,3.416021272304069498e+02,3.550775529547476594e+02,-3.868471008300222724e-02,3.868471008300222724e-02
1.500000000000000000e+01,9.600000000000000243e-05,3.492096959803655523e+02,3.628266620842744601e+02,-3.824795166617807329e-02,3.824795166617807329e-02
