E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
5.000000000000000000e+00,1.207929999999999976e-01,1.064999948688515197e+01,1.071584029109013159e+01,-6.163184306272933601e-03,6.163184306272933601e-03
5.200000000000000178e+00,1.237069999999999975e-01,1.407152318399445434e+01,1.416344530275330271e+01,-6.511225171155586057e-03,6.511225171155586057e-03
5.400000000000000355e+00,1.262010000000000076e-01,1.785662779106850095e+01,1.803081053909531306e+01,-9.707170872678836521e-03,9.707170872678836521e-03
5.599999999999999645e+00,1.282649999999999901e-01,2.219481178277603917e+01,2.239165508003916116e+01,-8.829732926305847857e-03,8.829732926305847857e-03
5.799999999999999822e+00,1.298930000000000085e-01,2.682952400226771772e+01,2.701393108107556529e+01,-6.849749092899305031e-03,6.849749092899305031e-03
6.000000000000000000e+00,1.310850000000000071e-01,3.193780732321101823e+01,3.232580853298199486e+01,-1.207529967312243567e-02,1.207529967312243567e-02
6.200000000000000178e+00,1.318390000000000117e-01,3.749556728255603844e+01,3.807495956233181289e+01,-1.533381607792691503e-02,1.533381607792691503e-02
6.400000000000000355e+00,1.321579999999999977e-01,4.333910602001419932e+01,4.382459821389048216e+01,-1.113977883669238327e-02,1.113977883669238327e-02
6.599999999999999645e+00,1.320449999999999957e-01,4.935299073225531430e+01,5.023646218426556231e+01,-1.774226940980994094e-02,1.774226940980994094e-02
6.799999999999999822e+00,1.315080000000000138e-01,5.584801576800683875e+01,5.648522917386039666e+01,-1.134505472860358744e-02,1.134505472860358744e-02
7.000000000000000000e+00,1.305550000000000044e-01,6.210291612417258023e+01,6.306108918139429420e+01,-1.531068065267639222e-02,1.531068065267639222e-02
7.200000000000000178e+00,1.291960000000000053e-01,6.899306110724188557e+01,7.004121670397891819e+01,-1.507765729772346519e-02,1.507765729772346519e-02
7.400000000000000355e+00,1.274430000000000007e-01,7.571373803104698652e+01,7.709521946511165424e+01,-1.808115776327308064e-02,1.808115776327308064e-02
7.599999999999999645e+00,1.253100000000000047e-01,8.200537263046012981e+01,8.345493851514699202e+01,-1.752161439381346580e-02,1.752161439381346580e-02
7.799999999999999822e+00,1.228130000000000055e-01,8.907383533849544222e+01,9.061981982192870078e+01,-1.720689004910115616e-02,1.720689004910115616e-02
8.000000000000000000e+00,1.199680000000000052e-01,9.632054943616147114e+01,9.810658661184324103e+01,-1.837230349616209360e-02,1.837230349616209360e-02
