E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
5.000000000000000000e+00,1.207929999999999976e-01,1.064999948688515197e+01,1.073585341744599120e+01,-8.029039659526674561e-03,8.029039659526674561e-03
5.200000000000000178e+00,1.237069999999999975e-01,1.407152318399445434e+01,1.419537490121303236e+01,-8.763021456775377249e-03,8.763021456775377249e-03
5.400000000000000355e+00,1.262010000000000076e-01,1.785662779106850095e+01,1.801847308480516219e+01,-9.022708774904306464e-03,9.022708774904306464e-03
5.599999999999999645e+00,1.282649999999999901e-01,2.219481178277603917e+01,2.245758751833778888e+01,-1.176983721702026982e-02,1.176983721702026982e-02
5.799999999999999822e+00,1.298930000000000085e-01,2.682952400226771772e+01,2.707528242909643623e+01,-9.118237986500795506e-03,9.118237986500795506e-03
6.000000000000000000e+00,1.310850000000000071e-01,3.193780732321101823e+01,3.226877693383050882e+01,-1.030952244070492546e-02,1.030952244070492546e-02
6.200000000000000178e+00,1.318390000000000117e-01,3.749556728255603844e+01,3.789717008748953475e+01,-1.065362046644715253e-02,1.065362046644715253e-02
6.400000000000000355e+00,1.321579999999999977e-01,4.333910602001419932e+01,4.383618163334229223e+01,-1.140404870941550894e-02,1.140404870941550894e-02
6.599999999999999645e+00,1.320449999999999957e-01,4.935299073225531430e+01,4.989425087873670606e+01,-1.090730861020615221e-02,1.090730861020615221e-02
6.799999999999999822e+00,1.315080000000000138e-01,5.584801576800683875e+01,5.664127070680342513e+01,-1.410365313276691623e-02,1.410365313276691623e-02
7.000000000000000000e+00,1.305550000000000044e-01,6.210291612417258023e+01,6.296938118048128530e+01,-1.385542722059626697e-02,1.385542722059626697e-02
7.200000000000000178e+00,1.291960000000000053e-01,6.899306110724188557e+01,6.992497352863276205e+01,-1.341672337696917482e-02,1.341672337696917482e-02
7.400000000000000355e+00,1.274430000000000007e-01,7.571373803104698652e+01,7.687012422749758400e+01,-1.515738531367318009e-02,1.515738531367318009e-02
7.599999999999999645e+00,1.253100000000000047e-01,8.200537263046012981e+01,8.360699227844220616e+01,-1.934178826397500023e-02,1.934178826397500023e-02
7.799999999999999822e+00,1.228130000000000055e-01,8.907383533849544222e+01,9.059591548924377946e+01,-1.694308745613669689e-02,1.694308745613669689e-02
8.000000000000000000e+00,1.199680000000000052e-01,9.632054943616147114e+01,9.791548223892429803e+01,-1.642262549340792882e-02,1.642262549340792882e-02
8.199999999999999289e+00,1.167959999999999970e-01,1.034902714070971115e+02,1.057034010365653245e+02,-2.115866702482817330e-02,2.115866702482817330e-02
8.400000000000000355e+00,1.133170000000000011e-01,1.105653788690113117e+02,1.128889530896113484e+02,-2.079685992420407178e-02,2.079685992420407178e-02
8.599999999999999645e+00,1.095519999999999966e-01,1.177603367877558611e+02,1.196443295207511852e+02,-1.587157289104905791e-02,1.587157289104905791e-02
8.800000000000000711e+00,1.055249999999999938e-01,1.243204975105415429e+02,1.259715670165452224e+02,-1.319314305168472166e-02,1.319314305168472166e-02
9.000000000000000000e+00,1.012610000000000038e-01,1.319886430732052531e+02,1.354906536234724967e+02,-2.618528307436469166e-02,2.618528307436469166e-02
9.199999999999999289e+00,9.678399999999999503e-02,1.389959705548977524e+02,1.425825904605396772e+02,-2.547509222795757769e-02,2.547509222795757769e-02
9.400000000000000355e+00,9.212199999999999556e-02,1.458189721352571553e+02,1.496491046228028665e+02,-2.592586332554608006e-02,2.592586332554608006e-02
