E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
5.000000000000000000e+00,1.207929999999999976e-01,1.155484301111017587e+01,1.160230451492681958e+01,-4.099080317494186061e-03,4.099080317494186061e-03
5.200000000000000178e+00,1.237069999999999975e-01,1.522733252789845793e+01,1.529075595905664109e+01,-4.156448473848117081e-03,4.156448473848117081e-03
5.400000000000000355e+00,1.262010000000000076e-01,1.927176702305347433e+01,1.939667174043286124e+01,-6.460292754168879548e-03,6.460292754168879548e-03
5.599999999999999645e+00,1.282649999999999901e-01,2.388903040984828507e+01,2.403671375066294758e+01,-6.163006684676469553e-03,6.163006684676469553e-03
5.799999999999999822e+00,1.298930000000000085e-01,2.879963213763392815e+01,2.893318828513936580e+01,-4.626697484287640300e-03,4.626697484287640300e-03
6.000000000000000000e+00,1.310850000000000071e-01,3.419123337754927405e+01,3.449243837779805943e+01,-8.770789113362601613e-03,8.770789113362601613e-03
6.200000000000000178e+00,1.318390000000000117e-01,4.003556029958470219e+01,4.049953752890473169e+01,-1.152236085459616179e-02,1.152236085459616179e-02
6.400000000000000355e+00,1.321579999999999977e-01,4.615586325118016475e+01,4.653975825439041358e+01,-8.282915567639373075e-03,8.282915567639373075e-03
6.599999999999999645e+00,1.320449999999999957e-01,5.242933918951590755e+01,5.313831521869765595e+01,-1.343169047671077809e-02,1.343169047671077809e-02
6.799999999999999822e+00,1.315080000000000138e-01,5.918576414703808553e+01,5.970325648488498160e+01,-8.705468933906642184e-03,8.705468933906642184e-03
7.000000000000000000e+00,1.305550000000000044e-01,6.566112646376396356e+01,6.645956725139804178e+01,-1.208653641125182962e-02,1.208653641125182962e-02
7.200000000000000178e+00,1.291960000000000053e-01,7.278227844220742782e+01,7.365978639235527226e+01,-1.198437008026587668e-02,1.198437008026587668e-02
7.400000000000000355e+00,1.274430000000000007e-01,7.970021342231899553e+01,8.088280479674432399e+01,-1.472872271975940797e-02,1.472872271975940797e-02
7.599999999999999645e+00,1.253100000000000047e-01,8.614547842874847561e+01,8.737449868903811989e+01,-1.416574945091626618e-02,1.416574945091626618e-02
7.799999999999999822e+00,1.228130000000000055e-01,9.338649009982378857e+01,9.470674454789417496e+01,-1.403829808704291221e-02,1.403829808704291221e-02
8.000000000000000000e+00,1.199680000000000052e-01,1.007941630128745771e+02,1.023616418577935008e+02,-1.543129762811162008e-02,1.543129762811162008e-02
8.199999999999999289e+00,1.167959999999999970e-01,1.081030789009600994e+02,1.092881290028772128e+02,-1.090246577443296228e-02,1.090246577443296228e-02
8.400000000000000355e+00,1.133170000000000011e-01,1.152964729834223192e+02,1.169936149462539845e+02,-1.461226329506973634e-02,1.461226329506973634e-02
8.599999999999999645e+00,1.095519999999999966e-01,1.225999036522752590e+02,1.254800872908541578e+02,-2.321979799845413917e-02,2.321979799845413917e-02
8.800000000000000711e+00,1.055249999999999938e-01,1.292299043064208774e+02,1.317871980284721189e+02,-1.959483650056121143e-02,1.959483650056121143e-02
9.000000000000000000e+00,1.012610000000000038e-01,1.369992992821866551e+02,1.388031821480500980e+02,-1.308097633138756606e-02,1.308097633138756606e-02
9.199999999999999289e+00,9.678399999999999503e-02,1.440714144881812615e+02,1.456751270386153863e+02,-1.106976146796084109e-02,1.106976146796084109e-02
9.400000000000000355e+00,9.212199999999999556e-02,1.509430003254659312e+02,1.541383344543223757e+02,-2.094742460178940918e-02,2.094742460178940918e-02
9.599999999999999645e+00,8.730300000000000560e-02,1.590112092364433352e+02,1.623243645761143625e+02,-2.062115501474894724e-02,2.062115501474894724e-02
9.800000000000000711e+00,8.235499999999999765e-02,1.657749912458594395e+02,1.685913802089326907e+02,-1.684612570827290906e-02,1.684612570827290906e-02
1.000000000000000000e+01,7.730800000000000172e-02,1.728735933531429794e+02,1.764776974812744754e+02,-2.063312329273595674e-02,2.063312329273595674e-02
1.019999999999999929e+01,7.219399999999999429e-02,1.806447339479898631e+02,1.834776127295198478e+02,-1.556003803325460393e-02,1.556003803325460393e-02
1.040000000000000036e+01,6.704100000000000337e-02,1.876153070552348083e+02,1.929287123862739861e+02,-2.792531249781404420e-02,2.792531249781404420e-02
1.059999999999999964e+01,6.188099999999999851e-02,1.952417409369203369e+02,1.990037415991785394e+02,-1.908455938699937793e-02,1.908455938699937793e-02
1.080000000000000071e+01,5.674699999999999883e-02,2.023483787847406745e+02,2.082352942974627865e+02,-2.867583831831269775e-02,2.867583831831269775e-02
1.100000000000000000e+01,5.167000000000000065e-02,2.091611306582315990e+02,2.145209010676898913e+02,-2.530090968278546348e-02,2.530090968278546348e-02
1.119999999999999929e+01,4.668100000000000027e-02,2.167529966290206005e+02,2.216439371486831647e+02,-2.231284091116656279e-02,2.231284091116656279e-02
1.140000000000000036e+01,4.181399999999999700e-02,2.240528199286336246e+02,2.295899617869187921e+02,-2.441190329247703433e-02,2.441190329247703433e-02
1.159999999999999964e+01,3.709699999999999803e-02,2.314172312436706420e+02,2.369236873102930758e+02,-2.351473402590580075e-02,2.351473402590580075e-02
1.180000000000000071e+01,3.256300000000000167e-02,2.384790657737513015e+02,2.453937497665028218e+02,-2.858058469364984158e-02,2.858058469364984158e-02
1.200000000000000000e+01,2.824000000000000121e-02,2.463426584889173512e+02,2.553851899789497395e+02,-3.604556341708232969e-02,3.604556341708232969e-02
1.219999999999999929e+01,2.415799999999999892e-02,2.528457102844162137e+02,2.588636172366155961e+02,-2.352080225448710538e-02,2.352080225448710538e-02
1.240000000000000036e+01,2.034299999999999997e-02,2.608637394389304518e+02,2.713826324258855607e+02,-3.952640560085125127e-02,3.952640560085125127e-02
1.259999999999999964e+01,1.682099999999999915e-02,2.678730321378649251e+02,2.752623233163085388e+02,-2.720975942457157237e-02,2.720975942457157237e-02
1.280000000000000071e+01,1.361399999999999937e-02,2.751850300632052608e+02,2.811987548437687110e+02,-2.161718203764306789e-02,2.161718203764306789e-02
1.300000000000000000e+01,1.074100000000000055e-02,2.827353627794451540e+02,2.893822680410730186e+02,-2.323614901395373508e-02,2.323614901395373508e-02
1.319999999999999929e+01,8.222999999999999407e-03,2.899026179218818697e+02,2.981418617701629614e+02,-2.802251915567996118e-02,2.802251915567996118e-02
1.340000000000000036e+01,6.073000000000000273e-03,2.971207215025896176e+02,3.089732004262103260e+02,-3.911103046835391617e-02,3.911103046835391617e-02
1.359999999999999964e+01,4.296000000000000339e-03,3.043884429054975271e+02,3.141686583633051555e+02,-3.162267618541977909e-02,3.162267618541977909e-02
1.380000000000000071e+01,2.892000000000000039e-03,3.112335794885067344e+02,3.219473086998768281e+02,-3.384097470794966006e-02,3.384097470794966006e-02
1.400000000000000000e+01,1.843000000000000020e-03,3.190760786537817353e+02,3.338737731214133078e+02,-4.532566912267648601e-02,4.532566912267648601e-02
1.419999999999999929e+01,1.113000000000000057e-03,3.264963964609865457e+02,3.391150331873678283e+02,-3.791592561157721558e-02,3.791592561157721558e-02
1.440000000000000036e+01,6.400000000000000524e-04,3.334812819421513836e+02,3.433924047581496097e+02,-2.928499958186901037e-02,2.928499958186901037e-02
1.459999999999999964e+01,3.539999999999999853e-04,3.414888310514219256e+02,3.522470331621773312e+02,-3.101526867996257097e-02,3.101526867996257097e-02
1.480000000000000071e+01,1.879999999999999890e-04,3.482907006932640570e+02,3.590598340510129560e+02,-3.044921245911599156e-02,3.044921245911599156e-02
1.500000000000000000e+01,9.600000000000000243e-05,3.559055692243298950e+02,3.669276996725089361e+02,-3.049702032946160699e-02,3.049702032946160699e-02
