cosZ,rate_night,rate_day,ADN_local_SK
-9.749999999999999778e-01,7.662579044161698505e+01,7.470150232274657753e+01,-2.543213565403269760e-02
-9.250000000000000444e-01,7.611013216886428268e+01,7.470150232274657753e+01,-1.868065220387307018e-02
-8.750000000000000000e-01,7.651740704016440020e+01,7.470150232274657753e+01,-2.401690006981632708e-02
-8.249999999999999556e-01,7.611970529001732189e+01,7.470150232274657753e+01,-1.880641309956893395e-02
-7.750000000000000222e-01,7.622769380917893045e+01,7.470150232274657753e+01,-2.022393977502306983e-02
-7.249999999999999778e-01,7.639777391892374681e+01,7.470150232274657753e+01,-2.245241192901716032e-02
-6.749999999999999334e-01,7.622368019238712122e+01,7.470150232274657753e+01,-2.017129075842476194e-02
-6.250000000000000000e-01,7.639725244279760830e+01,7.470150232274657753e+01,-2.244558696307298942e-02
-5.749999999999999556e-01,7.626700883323795210e+01,7.470150232274657753e+01,-2.073951049134813845e-02
-5.250000000000000222e-01,7.613887077796240987e+01,7.470150232274657753e+01,-1.905813974957711737e-02
-4.749999999999999778e-01,7.614627533737692033e+01,7.470150232274657753e+01,-1.915537685792858408e-02
-4.249999999999999334e-01,7.615987933275941657e+01,7.470150232274657753e+01,-1.933400044476674129e-02
-3.749999999999999445e-01,7.616136248749417348e+01,7.470150232274657753e+01,-1.935347265987353779e-02
-3.249999999999999556e-01,7.598604296822190918e+01,7.470150232274657753e+01,-1.704906192472591814e-02
-2.749999999999999667e-01,7.595990369763870831e+01,7.470150232274657753e+01,-1.670502629879695028e-02
-2.249999999999999778e-01,7.584706802612753052e+01,7.470150232274657753e+01,-1.521855306531670615e-02
-1.749999999999999334e-01,7.570678618571356822e+01,7.470150232274657753e+01,-1.336739980138056810e-02
-1.249999999999999445e-01,7.581457283119802071e+01,7.470150232274657753e+01,-1.479005491357675457e-02
-7.499999999999995559e-02,7.606425724038105329e+01,7.470150232274657753e+01,-1.807777736249021466e-02
-2.499999999999996669e-02,7.535607305394398736e+01,7.470150232274657753e+01,-8.724261065184297712e-03
