E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
5.000000000000000000e+00,1.207929999999999976e-01,1.064999948688515197e+01,1.075413841501355172e+01,-9.730728572736570964e-03,9.730728572736570964e-03
5.200000000000000178e+00,1.237069999999999975e-01,1.407152318399445434e+01,1.418262910810524247e+01,-7.864750140945129045e-03,7.864750140945129045e-03
5.400000000000000355e+00,1.262010000000000076e-01,1.785662779106850095e+01,1.798542832603090602e+01,-7.187117532632697307e-03,7.187117532632697307e-03
5.599999999999999645e+00,1.282649999999999901e-01,2.219481178277603917e+01,2.243037310511887128e+01,-1.055732644848854374e-02,1.055732644848854374e-02
5.799999999999999822e+00,1.298930000000000085e-01,2.682952400226771772e+01,2.718198423843038114e+01,-1.305130138532520530e-02,1.305130138532520530e-02
6.000000000000000000e+00,1.310850000000000071e-01,3.193780732321101823e+01,3.227677619013682175e+01,-1.055737959759077069e-02,1.055737959759077069e-02
6.200000000000000178e+00,1.318390000000000117e-01,3.749556728255603844e+01,3.779032936873536386e+01,-7.830472885103620384e-03,7.830472885103620384e-03
6.400000000000000355e+00,1.321579999999999977e-01,4.333910602001419932e+01,4.384512340546287135e+01,-1.160800270377346580e-02,1.160800270377346580e-02
6.599999999999999645e+00,1.320449999999999957e-01,4.935299073225531430e+01,4.997901002757734545e+01,-1.260458443469060844e-02,1.260458443469060844e-02
6.799999999999999822e+00,1.315080000000000138e-01,5.584801576800683875e+01,5.665796663134219813e+01,-1.439836079934618193e-02,1.439836079934618193e-02
7.000000000000000000e+00,1.305550000000000044e-01,6.210291612417258023e+01,6.288374057787890337e+01,-1.249452500466007032e-02,1.249452500466007032e-02
7.200000000000000178e+00,1.291960000000000053e-01,6.899306110724188557e+01,7.003405843291412225e+01,-1.497545700602046122e-02,1.497545700602046122e-02
7.400000000000000355e+00,1.274430000000000007e-01,7.571373803104698652e+01,7.683331073766889574e+01,-1.467839221615291519e-02,1.467839221615291519e-02
7.599999999999999645e+00,1.253100000000000047e-01,8.200537263046012981e+01,8.328231806829690242e+01,-1.545118614021963842e-02,1.545118614021963842e-02
7.799999999999999822e+00,1.228130000000000055e-01,8.907383533849544222e+01,9.060043147907823879e+01,-1.699293023561104093e-02,1.699293023561104093e-02
8.000000000000000000e+00,1.199680000000000052e-01,9.632054943616147114e+01,9.791859981746966923e+01,-1.645446232079112239e-02,1.645446232079112239e-02
8.199999999999999289e+00,1.167959999999999970e-01,1.034902714070971115e+02,1.055639927866654233e+02,-1.983907276482317628e-02,1.983907276482317628e-02
8.400000000000000355e+00,1.133170000000000011e-01,1.105653788690113117e+02,1.124171051823519178e+02,-1.660871544434017189e-02,1.660871544434017189e-02
8.599999999999999645e+00,1.095519999999999966e-01,1.177603367877558611e+02,1.196535073804594873e+02,-1.594827462009548030e-02,1.594827462009548030e-02
8.800000000000000711e+00,1.055249999999999938e-01,1.243204975105415429e+02,1.260489520871810072e+02,-1.380723230742914726e-02,1.380723230742914726e-02
9.000000000000000000e+00,1.012610000000000038e-01,1.319886430732052531e+02,1.349177550893005275e+02,-2.194860847293654549e-02,2.194860847293654549e-02
9.199999999999999289e+00,9.678399999999999503e-02,1.389959705548977524e+02,1.431200112242982811e+02,-2.923649091690449023e-02,2.923649091690449023e-02
9.400000000000000355e+00,9.212199999999999556e-02,1.458189721352571553e+02,1.462065741722737471e+02,-2.654576230864471274e-03,2.654576230864471274e-03
9.599999999999999645e+00,8.730300000000000560e-02,1.538074727167016817e+02,1.580553486602763940e+02,-2.724195160435557289e-02,2.724195160435557289e-02
9.800000000000000711e+00,8.235499999999999765e-02,1.605417245792446010e+02,1.644178148286598571e+02,-2.385583298448614234e-02,2.385583298448614234e-02
1.000000000000000000e+01,7.730800000000000172e-02,1.676072032151704434e+02,1.714539245096946445e+02,-2.269042942395723891e-02,2.269042942395723891e-02
1.019999999999999929e+01,7.219399999999999429e-02,1.753312195401094868e+02,1.796629988364963424e+02,-2.440478786497510266e-02,2.440478786497510266e-02
1.040000000000000036e+01,6.704100000000000337e-02,1.822837728383481704e+02,1.861962769506946813e+02,-2.123590742340837612e-02,2.123590742340837612e-02
1.059999999999999964e+01,6.188099999999999851e-02,1.898792481206133402e+02,1.943286240381908954e+02,-2.316129491349151401e-02,2.316129491349151401e-02
1.080000000000000071e+01,5.674699999999999883e-02,1.969734350612625917e+02,2.028243765806010686e+02,-2.926950247831628174e-02,2.926950247831628174e-02
1.100000000000000000e+01,5.167000000000000065e-02,2.037851886863520008e+02,2.090799183618317727e+02,-2.564871472590608825e-02,2.564871472590608825e-02
1.119999999999999929e+01,4.668100000000000027e-02,2.113591473801228062e+02,2.181016885003516848e+02,-3.140002792760097222e-02,3.140002792760097222e-02
1.140000000000000036e+01,4.181399999999999700e-02,2.186519885208237213e+02,2.255486643126700415e+02,-3.105207409243273403e-02,3.105207409243273403e-02
1.159999999999999964e+01,3.709699999999999803e-02,2.260107372403127499e+02,2.316511429809194169e+02,-2.464878979162570330e-02,2.464878979162570330e-02
1.180000000000000071e+01,3.256300000000000167e-02,2.330765540029441354e+02,2.398547660300513940e+02,-2.866467810435711916e-02,2.866467810435711916e-02
1.200000000000000000e+01,2.824000000000000121e-02,2.409279367803800085e+02,2.481750127730587394e+02,-2.963415370647616565e-02,2.963415370647616565e-02
1.219999999999999929e+01,2.415799999999999892e-02,2.474502145249365412e+02,2.542206549040479899e+02,-2.699156276232561949e-02,2.699156276232561949e-02
1.240000000000000036e+01,2.034299999999999997e-02,2.554568890609906475e+02,2.638667590085075290e+02,-3.238777967758339066e-02,3.238777967758339066e-02
1.259999999999999964e+01,1.682099999999999915e-02,2.624769362994964581e+02,2.733306916699120279e+02,-4.051362766726141623e-02,4.051362766726141623e-02
1.280000000000000071e+01,1.361399999999999937e-02,2.697954591403280347e+02,2.784615656602557578e+02,-3.161329860964325750e-02,3.161329860964325750e-02
1.300000000000000000e+01,1.074100000000000055e-02,2.773476425867311832e+02,2.866668939609828044e+02,-3.304613895696370540e-02,3.304613895696370540e-02
1.319999999999999929e+01,8.222999999999999407e-03,2.845250843277402737e+02,2.937900222257928817e+02,-3.204114086960990065e-02,3.204114086960990065e-02
1.340000000000000036e+01,6.073000000000000273e-03,2.917529219690180184e+02,2.995763660125961678e+02,-2.646053291316562486e-02,2.646053291316562486e-02
1.359999999999999964e+01,4.296000000000000339e-03,2.990298596107300568e+02,3.074212892401399699e+02,-2.767388484731328480e-02,2.767388484731328480e-02
1.380000000000000071e+01,2.892000000000000039e-03,3.058919975375906688e+02,3.168094229026443145e+02,-3.506471964472246405e-02,3.506471964472246405e-02
1.400000000000000000e+01,1.843000000000000020e-03,3.137341341319087178e+02,3.252881343282830358e+02,-3.616149472917493807e-02,3.616149472917493807e-02
1.419999999999999929e+01,1.113000000000000057e-03,3.211617476227453380e+02,3.331483475749499235e+02,-3.663889657268062233e-02,3.663889657268062233e-02
1.440000000000000036e+01,6.400000000000000524e-04,3.281611543792574821e+02,3.439240154980990951e+02,-4.690733206244694642e-02,4.690733206244694642e-02
1.459999999999999964e+01,3.539999999999999853e-04,3.361664539639833151e+02,3.516799451477734237e+02,-4.510742864634690458e-02,4.510742864634690458e-02
