cosZ,rate_night,rate_day,ADN_local_SK
-9.749999999999999778e-01,7.359411483518377395e+01,7.192286086914937471e+01,-2.296988317610607414e-02
-9.250000000000000444e-01,7.355164319970988629e+01,7.192286086914937471e+01,-2.239268442241314910e-02
-8.750000000000000000e-01,7.340394538162435367e+01,7.192286086914937471e+01,-2.038281237556741066e-02
-8.249999999999999556e-01,7.362793538928501391e+01,7.192286086914937471e+01,-2.342927093450144355e-02
-7.750000000000000222e-01,7.377738831311513934e+01,7.192286086914937471e+01,-2.545675047742483252e-02
-7.249999999999999778e-01,7.351186963884279635e+01,7.192286086914937471e+01,-2.185184741145581797e-02
-6.749999999999999334e-01,7.374850941500542945e+01,7.192286086914937471e+01,-2.506530339207822811e-02
-6.250000000000000000e-01,7.373283116087642952e+01,7.192286086914937471e+01,-2.485272311025020844e-02
-5.749999999999999556e-01,7.361100146737896921e+01,7.192286086914937471e+01,-2.319928257419550527e-02
-5.250000000000000222e-01,7.347833628707812181e+01,7.192286086914937471e+01,-2.139563426369115590e-02
-4.749999999999999778e-01,7.348197910519617437e+01,7.192286086914937471e+01,-2.144520411180098410e-02
-4.249999999999999334e-01,7.353384693272963091e+01,7.192286086914937471e+01,-2.215072907843505107e-02
-3.749999999999999445e-01,7.354762869574777540e+01,7.192286086914937471e+01,-2.233810900696200571e-02
-3.249999999999999556e-01,7.335222578348340505e+01,7.192286086914937471e+01,-1.967804593710942990e-02
-2.749999999999999667e-01,7.332803451838927344e+01,7.192286086914937471e+01,-1.934822701768282652e-02
-2.249999999999999778e-01,7.321726881283088062e+01,7.192286086914937471e+01,-1.783666511140249988e-02
-1.749999999999999334e-01,7.307703718120214376e+01,7.192286086914937471e+01,-1.591968446283981153e-02
-1.249999999999999445e-01,7.318145379845103093e+01,7.192286086914937471e+01,-1.734742253784519322e-02
-7.499999999999995559e-02,7.343725873161984907e+01,7.192286086914937471e+01,-2.083649719922850765e-02
-2.499999999999996669e-02,7.267903005120163584e+01,7.192286086914937471e+01,-1.045863476942733572e-02
