E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
5.000000000000000000e+00,1.207929999999999976e-01,1.051150179718078981e+01,1.058366008210385090e+01,-6.841216515519629379e-03,6.841216515519629379e-03
5.200000000000000178e+00,1.237069999999999975e-01,1.389828561363448500e+01,1.406763700858019561e+01,-1.211126821978593567e-02,1.211126821978593567e-02
5.400000000000000355e+00,1.262010000000000076e-01,1.764855021789717426e+01,1.780133931812395431e+01,-8.620004306164559538e-03,8.620004306164559538e-03
5.599999999999999645e+00,1.282649999999999901e-01,2.195001748609407244e+01,2.226813827005743818e+01,-1.438869525530176059e-02,1.438869525530176059e-02
5.799999999999999822e+00,1.298930000000000085e-01,2.654935823767710090e+01,2.685589177740916611e+01,-1.147952831024940702e-02,1.147952831024940702e-02
6.000000000000000000e+00,1.310850000000000071e-01,3.162194217826261067e+01,3.218430830608274817e+01,-1.762730527342653078e-02,1.762730527342653078e-02
6.200000000000000178e+00,1.318390000000000117e-01,3.714415325383971833e+01,3.758997960130696470e+01,-1.193099673294848069e-02,1.193099673294848069e-02
6.400000000000000355e+00,1.321579999999999977e-01,4.295396855453334695e+01,4.367041290298215017e+01,-1.654140177151348229e-02,1.654140177151348229e-02
6.599999999999999645e+00,1.320449999999999957e-01,4.893679975757360978e+01,4.948339631115426585e+01,-1.110740631321160618e-02,1.110740631321160618e-02
6.799999999999999822e+00,1.315080000000000138e-01,5.540074071875230999e+01,5.617752130341561667e+01,-1.392351109589749607e-02,1.392351109589749607e-02
7.000000000000000000e+00,1.305550000000000044e-01,6.163014082409030436e+01,6.240786805281337024e+01,-1.254014371505896529e-02,1.254014371505896529e-02
7.200000000000000178e+00,1.291960000000000053e-01,6.849339413225681028e+01,6.983327080401322462e+01,-1.937264478072572849e-02,1.937264478072572849e-02
7.400000000000000355e+00,1.274430000000000007e-01,1.283598677381494042e+02,1.271823150112066969e+02,9.216112301096594100e-03,-9.216112301096594100e-03
7.599999999999999645e+00,1.253100000000000047e-01,1.394400281183860670e+02,1.379588463625772192e+02,1.067907545465181761e-02,-1.067907545465181761e-02
7.799999999999999822e+00,1.228130000000000055e-01,1.518693166920662918e+02,1.493648977330769299e+02,1.662771915712589477e-02,-1.662771915712589477e-02
8.000000000000000000e+00,1.199680000000000052e-01,1.646326810898960105e+02,1.623112111500946071e+02,1.420102956440823412e-02,-1.420102956440823412e-02
8.199999999999999289e+00,1.167959999999999970e-01,1.772967814280287371e+02,1.757875805447185940e+02,8.548670209453400337e-03,-8.548670209453400337e-03
8.400000000000000355e+00,1.133170000000000011e-01,1.898184132524172298e+02,1.883726693352629127e+02,7.645573804977988039e-03,-7.645573804977988039e-03
8.599999999999999645e+00,1.095519999999999966e-01,2.025655004514891289e+02,1.995095577449899906e+02,1.520085687586128671e-02,-1.520085687586128671e-02
8.800000000000000711e+00,1.055249999999999938e-01,2.142381650761988681e+02,2.117283885823928813e+02,1.178391341878709704e-02,-1.178391341878709704e-02
9.000000000000000000e+00,1.012610000000000038e-01,2.278298624073715075e+02,2.248604496803419295e+02,1.311895858047089705e-02,-1.311895858047089705e-02
9.199999999999999289e+00,9.678399999999999503e-02,2.402980181439159537e+02,2.377942757810228613e+02,1.047388713312406329e-02,-1.047388713312406329e-02
9.400000000000000355e+00,9.212199999999999556e-02,2.524517098887037037e+02,2.481130888304281541e+02,1.733490277133914112e-02,-1.733490277133914112e-02
9.599999999999999645e+00,8.730300000000000560e-02,2.666262934998762262e+02,2.633330553859548218e+02,1.242826688818679699e-02,-1.242826688818679699e-02
9.800000000000000711e+00,8.235499999999999765e-02,2.786506920751039615e+02,2.735072183405176816e+02,1.863044479690482633e-02,-1.863044479690482633e-02
1.000000000000000000e+01,7.730800000000000172e-02,2.912382963310791411e+02,2.864957852734814310e+02,1.641762606224016555e-02,-1.641762606224016555e-02
1.019999999999999929e+01,7.219399999999999429e-02,3.049794672286705008e+02,3.009232912073354669e+02,1.338886798206724918e-02,-1.338886798206724918e-02
1.040000000000000036e+01,6.704100000000000337e-02,3.173905510880683210e+02,3.119364623621282817e+02,1.733308314873937411e-02,-1.733308314873937411e-02
1.059999999999999964e+01,6.188099999999999851e-02,3.309076249316732969e+02,3.266270291345076657e+02,1.302013748079896074e-02,-1.302013748079896074e-02
1.080000000000000071e+01,5.674699999999999883e-02,3.435646457317446334e+02,3.353762063857919316e+02,2.412121562699879804e-02,-2.412121562699879804e-02
1.100000000000000000e+01,5.167000000000000065e-02,3.557233496389712855e+02,3.501119916867497182e+02,1.589990646170294508e-02,-1.589990646170294508e-02
1.119999999999999929e+01,4.668100000000000027e-02,3.692213249445792371e+02,3.610663409853261214e+02,2.233362095433732292e-02,-2.233362095433732292e-02
1.140000000000000036e+01,4.181399999999999700e-02,3.822206930641084455e+02,3.746429535396517849e+02,2.002405468530535360e-02,-2.002405468530535360e-02
1.159999999999999964e+01,3.709699999999999803e-02,3.953327780713586321e+02,3.901637203471317434e+02,1.316124956542571653e-02,-1.316124956542571653e-02
