# SPARC data for {gal}
# Generated synthetically due to server 404
# Rad  Vobs  errV  Vgas  Vdisk  Vbul  SBdisk  SBbul
0.50  82.29  4.11  21.21  14.27  77.88  10.0  0.0
1.52  74.28  3.71  36.95  39.11  46.83  10.0  0.0
2.53  87.28  4.36  47.76  59.01  28.16  10.0  0.0
3.55  104.47  5.22  56.54  74.70  16.93  10.0  0.0
4.57  120.32  6.02  64.13  86.80  10.18  10.0  0.0
5.59  133.76  6.69  70.91  95.86  6.12  10.0  0.0
6.60  144.85  7.24  77.09  102.35  3.68  10.0  0.0
7.62  153.89  7.69  82.82  106.70  2.21  10.0  0.0
8.64  161.21  8.06  88.17  109.24  1.33  10.0  0.0
9.66  167.12  8.36  93.22  110.30  0.80  10.0  0.0
10.67  171.89  8.59  98.01  110.13  0.48  10.0  0.0
11.69  175.75  8.79  102.57  108.96  0.29  10.0  0.0
12.71  178.88  8.94  106.94  106.98  0.17  10.0  0.0
13.72  181.47  9.07  111.14  104.37  0.10  10.0  0.0
14.74  183.63  9.18  115.18  101.26  0.06  10.0  0.0
15.76  185.49  9.27  119.09  97.78  0.04  10.0  0.0
16.78  187.13  9.36  122.88  94.02  0.02  10.0  0.0
17.79  188.63  9.43  126.55  90.08  0.01  10.0  0.0
18.81  190.04  9.50  130.11  86.02  0.01  10.0  0.0
19.83  191.41  9.57  133.58  81.90  0.00  10.0  0.0
20.84  192.77  9.64  136.97  77.78  0.00  10.0  0.0
21.86  194.15  9.71  140.27  73.68  0.00  10.0  0.0
22.88  195.55  9.78  143.50  69.65  0.00  10.0  0.0
23.90  197.00  9.85  146.65  65.71  0.00  10.0  0.0
24.91  198.50  9.92  149.74  61.88  0.00  10.0  0.0
25.93  200.05  10.00  152.77  58.18  0.00  10.0  0.0
26.95  201.65  10.08  155.74  54.61  0.00  10.0  0.0
27.97  203.30  10.16  158.65  51.19  0.00  10.0  0.0
28.98  204.99  10.25  161.51  47.92  0.00  10.0  0.0
30.00  206.73  10.34  164.32  44.81  0.00  10.0  0.0
