l,Dl_Planck,Dl_H73_Tension,Dl_TRXT_Fixed
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,976.4415578035126,1060.3581027580337,1026.874764648559
3,1849.4940382580814,1976.8039426470846,1983.6205024628791
4,2917.0032216716577,3081.861258768481,3095.3013511812005
5,4190.457834249035,4388.229158202341,4406.746353417763
6,5690.059362269923,5918.349630801634,5939.680584251688
7,7437.455572705611,7695.64904419952,7717.2540804317705
8,9447.573213347214,9734.748564207202,9754.914811854645
9,11742.65020759404,12057.623040996663,12073.369325696101
10,14338.916158220058,14681.785263160946,14690.517920795757
11,17243.829683268552,17615.886401316464,17616.278198680342
12,20503.642830377255,20909.07021207567,20891.96246026203
13,24105.18367579776,24544.98106570063,24513.974351015357
14,28065.569430700987,28539.35981498041,28491.12236564572
15,32367.577493712175,32878.459918396395,32816.39881910964
16,37097.49992934432,37648.635441840146,37551.02825651541
17,42286.19309918334,42882.00528365194,42740.47643010793
18,47910.52894588975,48557.08702961928,48378.003472951335
19,54038.12931098742,54739.79137593448,54503.56131321443
20,60598.673506067025,61357.30361298831,61087.18150837013
21,67651.13239586863,68471.48862838457,68147.06969558391
22,75219.6935714624,76110.84122909606,75722.41275305147
23,83293.8214685486,84263.9516067174,83815.85761006379
24,91919.50457844997,92974.22226797893,92450.17512449468
25,101133.80796887047,102278.68571843425,101664.26413531615
26,110909.27999061477,112150.7499386293,111457.08942547454
27,121310.84789360549,122656.44932172293,121855.56148723357
28,132343.26841585338,133802.00518927327,132891.36067271698
29,144018.31608763628,145601.51213369292,144574.861736154
30,156385.80201435534,158106.6539588752,156939.71562061214
31,169377.4679794729,171246.8211307638,169974.3877331988
32,183138.44996090906,185163.721847545,183714.3355965772
33,197609.64371023444,199798.11383512148,198202.90699086557
34,212806.25198200182,215166.52219660918,213416.80844937466
35,228861.6810751265,231405.56523949,229426.0324094483
36,245621.68733969246,248364.54374898114,246241.13940460456
37,263211.9731843883,266170.106739476,263828.9795924474
38,281684.8161224446,284874.50696164585,282284.53881630534
39,301046.3330075778,304483.17811670346,301641.2801407889
40,321302.53932631284,325001.0112372658,321904.3361574903
41,342454.2518057667,346427.83036334,343076.71946992393
42,364524.0751414166,368787.0616446468,365166.1910805745
43,387537.9074352929,392106.0635473899,388197.0724524467
44,411534.2737656746,416425.014943618,412200.20935283846
45,436559.6855352286,441792.28507361934,437217.5314098191
46,462630.9867164158,468226.491606551,463288.5190256708
47,489769.1365532123,495749.293628795,490432.27682209533
48,517991.01388080465,524377.9136363958,518669.0464006973
49,547317.9793916071,554133.9674785987,548016.768745564
50,577798.0765799942,585065.6593346137,578502.316117289
51,609484.7492082268,617226.721845112,610174.22440861
52,642386.7499161421,650627.0763819468,643077.5543524411
53,676501.2755170262,685265.4066586363,677220.226846128
54,711845.5796172699,721160.564511883,712603.9035762986
55,748443.0899892705,758337.6916552339,749247.9637798244
56,786376.1643078416,796880.6767086452,787183.9580340626
57,825729.9208345377,836874.9944033885,826494.6431838395
58,866519.0590364579,878335.2831769779,867258.2085841898
59,908730.5731904843,921248.3337754025,909487.1466166739
60,952384.2661664162,965633.5960260007,953170.1543853966
61,997515.3094511183,1011526.198900653,998326.9490992015
62,1044159.0280248513,1058963.2520337612,1044992.1513275323
63,1092359.716295589,1107991.4745531268,1093202.341006987
64,1142153.7036742612,1158649.8313022999,1143005.0981044965
65,1193593.2362770585,1210993.4223538262,1194438.2404293092
66,1246741.3664936696,1265087.9340919154,1247555.3088053598
67,1301623.2814461205,1320959.5283992174,1302420.754538451
68,1358249.528285301,1378619.2198667754,1359061.44760871
69,1416622.1233821479,1438069.400539253,1417488.9535349868
70,1476751.2325201475,1499320.515807316,1477706.2173537014
71,1538651.0512626802,1562386.9189192243,1539722.930020093
72,1602447.4507131425,1627394.442916516,1603552.8764409267
73,1668277.4734244626,1694479.948180151,1669307.3044159408
74,1736197.4670790553,1763699.4716691428,1737119.3232373355
75,1806258.638502646,1835103.776126161,1807055.748762179
76,1878469.8103808549,1908701.94975399,1879167.375614049
77,1952757.8392732816,1984424.5412038907,1953470.6055086062
78,2029145.0630394234,2062298.7790436656,2029912.503232993
79,2107712.2915382683,2142410.7710117423,2108499.494974235
80,2188522.0492438884,2224828.759204943,2189302.8750295453
81,2271642.2741707047,2309625.41567996,2272394.1224282584
82,2357131.4448793395,2396858.45466127,2357843.566218219
83,2445011.602965585,2486547.4143285626,2445712.1264970833
84,2535328.2272130144,2578734.865210795,2536030.245987886
85,2628118.607824195,2673454.7714046407,2628832.6915821317
86,2723424.6227316936,2770746.314265228,2724155.702139359
87,2821254.169084705,2870618.689340789,2822036.055385095
88,2921626.516571568,2973093.6183981495,2922493.5846731793
89,3024596.961314879,3078228.9953866885,3025544.9874666394
90,3130212.6057465514,3186074.6703048027,3131233.0719281766
91,3238530.614510464,3296690.2618988096,3239610.1706846138
92,3349597.5049134083,3410123.031892555,3350730.8036651444
93,3463480.4168922063,3526440.360047299,3464646.921040365
94,3580217.0233104257,3645680.0798981576,3581415.63495977
95,3699876.9021385578,3767911.848515834,3701088.1537098093
96,3822498.8636983014,3893174.4713329324,3823717.4525603415
97,3948132.5129289753,4021517.4619930303,3949357.3166207043
98,4076839.3855037517,4153002.176050385,4078050.8891658653
99,4208635.597609897,4287644.45833464,4209852.178219354
100,4343594.60901693,4425517.403604591,4344802.007906702
101,4481755.686657699,4566659.817716219,4482939.658097313
102,4623170.018577791,4711122.329160553,4624323.432910125
103,4767863.916074974,4858930.588793236,4768996.034148546
104,4915887.996769732,5010134.45049696,4916998.173443101
105,5067280.145537078,5164770.9297072245,5068363.546672692
106,5222077.671569338,5322876.358071054,5223136.94830037
107,5380317.28579189,5484486.358460972,5381354.596309098
108,5542021.160710126,5649621.902422459,5543052.039277251
